label,preprocessed,EventTime,People,Organisation,Location
52,Elena Santarelli e la lettera del figlio una mamma speciale che non hai mai perso la speranza,78 days 20:08:47.518526000,"{Litigare, Fazio, Dai, che, Antonino, Elena, su, e, Cristofori, la, Ben, Che, Kravitz, Cate, Zellweger, geni, perso, Clooney, Principe, Affleck, seconda, Noemi, nuova, Reno, mai, Rai, la, Renée, Benassi, figli, Kors, George, ci, Garner, Lenny, e, Napoli, hai, Blanchett, Björk, Ferragni, Leonardo, Benny, Biel, Michael, Naufragio, Jennifer, Meghan, Santarelli, la, Cate, Balmain, Amal, Da, Jessica, non, Cannavacciuolo, Harry, Blanchett, Chiara}","{quando, Beach, Ecco, Party}","{Tunisia, Italia}"
53,Cop Rooftop fundraiser Special Olympics Friday,78 days 20:08:45.518526000,"{Houses, Pinstripe, Ali}",set(),set()
54,Striking street art display West End graffiti festival,78 days 20:08:39.518526000,"{Elliot, Grace}",set(),set()
55,Frankie Cocozza named baby Frankie fourth X Factor star teases bizarre title,78 days 20:08:38.518526000,"{Duncan, Rocky, Frankie, Frankie, James, Cocozza}",set(),set()
56,Man Utd legend Neville trolls Carragher brutal Liverpool runners celebration picture,78 days 20:08:22.518526000,"{John, Benny, Goode, Mendez, Vunipola, Steelers, Billy, Terry, Laing, Williams, Liam, Carragher, Alex, Jamie, Carragher, Snell, Neville}","{City, Utd, Herrera, PSG, Trafford, Old, Cardiff, United, United, Manchester, Manchester, Anfield}",set()
57,Man United vs Cardiff City line ups Confirmed team news predicted XIs Old Trafford,78 days 20:08:15.518526000,"{Bill, Mitchell, Leckie, Arsenal}","{XIs, Trafford, Old}","{City, United, Cardiff}"
58,Man Utd duo Paul Pogba Alexis Sanchez heart dressing room rift DESTROYING morale,78 days 20:07:24.518526000,"{Sanchez, Steve, Kerr, Boris, Utd, Paul, Pogba, Alexis}",set(),set()
59,Attractive fares long haul SIA flights drawing travellers,78 days 20:06:59.518526000,set(),set(),set()
60,York Dante Meeting races miss action rolls Knavesmire week,78 days 20:06:58.518526000,"{Damien, Dante, Love}",set(),set()
61,Silver King il wrestler messicano muore sul ring,78 days 20:06:47.518526000,set(),set(),"{Silver, King}"
62,Marcio Lassiter regains touch right time,78 days 20:06:22.518526000,"{Raptors, Leonard, Lassiter, Marcio, Simmons, Steve, Kyle}",set(),set()
63,Fletcher says ex Rangers boss Advocaat got mixed Ferguson,78 days 20:06:02.518526000,"{Horan, Advocaat, Sean, Ferguson}","{Zealand, New, Rangers, Fletcher}",set()
64,Senseless Single punch kills Winnipeg man dispute boat lane Police,78 days 20:04:08.518526000,set(),set(),"{Charles, Township, Yorkshire, Birmingham, Winnipeg}"
65,Watch Leeds fans amazing new chant mocking Frank Lampard Spygate scandal hit Oasis track,78 days 20:04:03.518526000,"{Frank, Lampard}",set(),set()
66,Man Utd encouraged Harry Maguire pursuit Brendan Rodgers picks Leicester replacement,78 days 20:03:58.518526000,"{Rodgers, Middleton, Ibrox, Anthony, Grado, Ewen, Utd, Harry, Maguire, Cameron, Brendan}",set(),{Leicester}
67,Want free TV Owner Chicken Soup books betting,78 days 20:01:31.518526000,"{Chicken, Soup, Chicken, Soup}",set(),set()
68,Sarah Harding leaks messages Nadine Coyle amid claims Girls Aloud feud,78 days 20:00:35.518526000,"{Trump, Tweetstorm, Coyle, Donald, Harding, Nadine, Sarah}",set(),set()
69,Aspen Chapel minister publish new spirituality book,78 days 20:00:28.518526000,set(),set(),set()
70,Letters Tariffs school funding Innocence Project Beto suburbs VisitDallas press passes,78 days 20:00:15.518526000,"{Beto, VisitDallas}",set(),set()
71,Cazoo brings veterans AutoTrader Tesla Manheim,78 days 20:00:15.518526000,"{Rab, McNeil, Kit, Cazoo, Siang, AutoTrader}",set(),set()
72,Victory Renfrewshire Council pledges look appalling sports pitches,78 days 19:59:58.518526000,"{Gary, Neville}","{Liverpool, Renfrewshire, Council}",set()
73,Determined London eatery opens teeth month road rebuild,78 days 19:59:48.518526000,{Nando},"{Herald, Vacation, News, School, Bible}","{UK, Doncaster}"
74,Ramadan fasting tips survival guide holy month,78 days 19:58:22.518526000,"{Frankie, Okoro, Benny, Henry}","{LPGA, Nollywood, Mistwood}",set()
75,Real Reason Rachel Ended Joey Ross,78 days 19:57:54.518526000,"{Daniel, Bond, Stephen, Andy, Ross, Shore, Joey, Justin, Warhol, Colin, Ended, Craig, James, Rachel}",set(),{America}
76,Charles Public Library host student art gallery,78 days 19:57:35.518526000,set(),"{Charles, Public, Library}",{Texas}
77,Coronation Street fans fuming new pic shows David Platt cheating Shona Ramsey Natalie,78 days 19:56:59.518526000,"{Buttigieg, Lawrence, Pete, Jennifer, Platt, David, Biden, Joe, Barclay, Maroney, Beto, Natalie, Ramsey, Cooke}","{Street, Robinson, Coronation, Washington}",set()
78,Spider Man themed United safety video sling excitement,78 days 19:56:59.518526000,"{United, Man, Spider}",set(),{Argentina}
79,Editorial Speed bump Raising highway limits raises issues,78 days 19:56:59.518526000,set(),{NHTSA},set()
80,healthy wife collapsed died desperately tried lose weight dream family holiday,78 days 19:56:58.518526000,set(),set(),set()
81,CSKA Moscow reportedly wants sign Milutinov,78 days 19:56:58.518526000,"{Milutinov, CSKA}","{Efes, Ataman, Anadolu, Moscow, Olympiacos}",{Moscow}
82,Man Utd news Ed Woodward held meeting player office Cardiff defeat,78 days 19:56:58.518526000,"{Ed, Woodward, Eriksen, Spurs}","{vs, Rangers, Celtic, Firm, Glasgow, called, Old}",{Cardiff}
83,Administrative Trial Begins NYPD Officer Implicated Eric Garner Death,78 days 19:56:58.518526000,"{Hussain, Sushovan, Greensburg, Diocese}",set(),set()
84,Rangers legend Ferguson says sick Lisbon Lions song soured Celtic win pundits slam vile chant,78 days 19:56:58.518526000,set(),"{Lisbon, Ferguson, Old, Rangers, Buti, Lions, Lennon, Perth, Neil, Fremantle}",set()
85,Legalizing ukay ukay help save planet,78 days 19:56:58.518526000,set(),set(),set()
86,Liverpool chairman Tom Werner defiant title heartbreak going stronger,78 days 19:56:52.518526000,"{Werner, Tom}",set(),set()
87,Olivier Giroud decides come likes project Patrick Vieira Nice confirm interest Chelsea striker,78 days 19:56:51.518526000,"{Klopp, Vieira, Jürgen, Chelsea, Olivier, Patrick, Giroud}",set(),{Liverpool}
88,Premier League Final Day fixtures Arsenal Man Utd Chelsea clubs play,78 days 19:56:50.518526000,set(),set(),set()
89,Painful stressful swim school franchisees chase refunds,78 days 19:56:48.518526000,set(),set(),set()
90,Channel compere daughter enters business,78 days 19:56:45.518526000,"{Smith, Genie}",{Aladdin},set()
91,Experience Kallang rich history new km walking trail Singapore Sports Hub,78 days 19:56:44.518526000,set(),set(),set()
92,Jeremy Kyle branded vile comedian Kathy Burke says hopes end guest dies shortly filming,78 days 19:56:39.518526000,"{Charles, Jeremy, Prince, John, Kathy, Kyle, Steigerwald, Camilla, Iain, Gogh, Van, Burke, McLaughlin, Stirling, Zimmerly}",{ITV},set()
93,Scottish Labour MSP appalled colleague party thug claim,78 days 19:56:29.518526000,{Putin},set(),{Estonia}
94,misconceptions taking care young children,78 days 19:56:29.518526000,set(),set(),set()
95,Juventus manager Max Allegri wants stay Serie champions planning summer clear Paulo Dybala players set leave,78 days 19:56:29.518526000,"{Paulo, Neil, Humphreys}","{Super, Falcons, Hazard, Leicester, Juventus, Max, Oshoala, Women, Allegri, Ebi, FIFA, Utd, Lukaku, Serie}",set()
96,Liverpool stay vow defensive duo Andy Robertson Virgil van Dijk title near miss,78 days 19:56:29.518526000,"{Gerrard, Dijk, Steven, van, Virgil, Salah, Robertson, Mohamed, Morelos, Andy, Boot, Alfredo, Golden}",set(),set()
97,Match Day TONIGHT Premier League final day matches covered,78 days 19:56:25.518526000,{Day},set(),set()
98,Major search launched Irish twins vanish celebrating birthday Madrid family worried welfare,78 days 19:56:22.518526000,set(),"{Boots, Tesco, Asda}",set()
99,Chelsea transfer news LIVE Hazard Real Madrid Europa League final Loftus Cheek stalls deal,78 days 19:56:13.518526000,"{Chelsea, Newton, Kante}","{Manchester, Chelsea, Hazard, Eden, Chelsea, Chelsea, Cheek, Loftus, League, City, Europa}",set()
100,Air Force Helps Fund Weather Radar Stations Upgrades,78 days 19:56:09.518526000,set(),"{Force, Air, Burleson}",set()
101,Man threatened behead Indonesian President Joko viral video held,78 days 19:56:07.518526000,{Joko},set(),"{Turkey, Istanbul}"
102,sightseeing planes crash mid air Alaska leaving dead Coast Guard hunts missing passengers,78 days 19:56:06.518526000,set(),"{Plane, Texas, Coast, Ryanair, Guard, Delta, Boeing, Crash, Alaska, Delta, Alaska, Boeing, Alaska, National, Plane, Airlines, Jet}","{Alaska, Penang, Myanmar}"
103,Insults projectiles intentioned fat shaming perils plus size runner,78 days 19:55:46.518526000,"{Pallett, Roxanne}",set(),set()
104,Jennifer Lawrence introduces Dior new Montaigne bag collection inspired brand Parisian home,78 days 19:55:38.518526000,"{Kim, Dior, Montaigne, Lawrence, Kardashian, eBay, Constance, Wu}",set(),set()
105,world scary girls better time parent,78 days 19:54:58.518526000,set(),set(),set()
106,Flying Hurricane Hours Boredom Hours Sheer Terror,78 days 19:54:57.518526000,set(),set(),set()
107,Louis Theroux Mothers Edge review Clumsy unforgivable,78 days 19:54:48.518526000,"{EU, Weber, Louis, Manfred, Theroux, Theroux}",set(),set()
108,Cesar Gonzalez lucha libre wrestler known Silver King dies London match,78 days 19:53:58.518526000,"{Monaco, Silver, London, King, E, Cesar, Rapide, Martin, Libre, Wrestler, Libre, Nacho, Rapide, Gonzalez, Silver, Cesar, Aston, Silver, Silver, E, Silver, King, Gonzalez, King, Aston, Martin, Lucha}",set(),"{London, London, London}"
109,Breadwinner Cherry Rondina buys home family Cebu,78 days 19:52:23.518526000,set(),"{N, Guns, Rose, Cherry, Cebu, Rondina}",set()
110,Spurned boyfriend repeatedly stabbed mum baby ended relationship,78 days 19:52:09.518526000,{Stark},set(),set()
111,Royals New Baby Archie Arches Honor Mother Day,78 days 19:51:58.518526000,"{Jenner, Blanket, Michael, Jackson, Osebo, Nana, Aba, Kylie}",set(),set()
112,Neymar captain PSG coach,78 days 19:51:46.518526000,set(),"{Captain, Neymar, PSG, Neymar, PSG}",set()
113,Aubameyang Mané Salah Golden Boot good sign Africa,78 days 19:51:40.518526000,"{Robertson, Stewart}","{Aubameyang, Salah, Mané, Africa}",set()
114,Boy finger sliced school toilet door mum slams lack aiders,78 days 19:51:38.518526000,set(),set(),set()
115,chance win GOLDEN season ticket pass Theme Park worth,78 days 19:51:25.518526000,set(),set(),set()
116,Melbourne Express Tuesday,78 days 19:51:11.518526000,set(),"{Melbourne, Express, Melbourne, Renews, NBC, Express}",set()
117,Sarah Hyland opted extensions disguise hair loss,78 days 19:50:48.518526000,"{Sarah, André, Hyland, Saraiva}",set(),set()
118,Gluten Free Recipes,78 days 19:50:38.518526000,set(),"{Flour, Sensation, Health, Food, Staple, Cuisine}",set()
119,Sophie Rundle playing Gentleman Jack lesbian love interest coping Richard Madden devoted fans,78 days 19:50:17.518526000,"{Piers, Morgan, Richard, Rundle, Jack, Sophie}",set(),{Britain}
120,Meet man trying open museum dedicated ancestor Richard Cobden,78 days 19:50:14.518526000,"{Cobden, Richard}",set(),set()
121,OOH Kris Fade Got Engaged Yesterday Smith Involved Process,78 days 19:49:35.518526000,"{Julian, Green, Fade, Walton, Kris, Wilson, Arnold, Russell, Schwarzenegger, Julian, Philip, Edelman, Edelman}",{Patriots},set()
122,Male mental health Barber lost dad suicide wants help men talk personal issues whilst having haircut,78 days 19:49:23.518526000,"{Headspace, Barber}",set(),set()
123,Letters Mother Day Democrats Joe Biden offshore drilling sickle cell disease,78 days 19:49:14.518526000,"{Joe, Biden}",set(),{Kenya}
124,Hampshire man seriously injured cited driving influence Sunday crash,78 days 19:49:06.518526000,set(),"{Senate, Texas}",{Hampshire}
125,startups helping moms work having kids,78 days 19:48:50.518526000,set(),set(),set()
126,GRAPHIC CONTENT WARNING Boy slices finger horror school accident,78 days 19:48:38.518526000,set(),set(),{Seattle}
127,Roads power sides throw billions Melbourne infrastructure,78 days 19:48:36.518526000,"{USPS, Melbourne}",set(),set()
128,Shirley Tse puzzle wood Venice Biennale art fair,78 days 19:48:27.518526000,"{Shirley, Fowler, Kush, EastEnders, Stacey, Kazemi, Tse, Arthur}",set(),{Venice}
129,Everest braces record year amid overcrowding fears,78 days 19:48:10.518526000,set(),"{Pulse, Loom, Opinion, Scheme, Ponzi}",set()
130,Windsor volunteers dig despite government cancelation tree planting program,78 days 19:47:33.518526000,set(),set(),set()
131,Extreme trauma leaves legacy pain victims children,78 days 19:47:09.518526000,set(),set(),set()
132,Extraordinary Life art Clara Matay Joliet left,78 days 19:47:07.518526000,"{Clara, Joliet, Matay}",set(),set()
133,Swan Island lighthouse gets facelift years,78 days 19:46:41.518526000,set(),"{Marriott, Kochi}",set()
134,HGP Turbo Volkswagen Golf R HP Hits MPH Seconds,78 days 19:46:35.518526000,"{Rosario, Rwandan}","{HGP, Turbo, Volkswagen, Golf, R}",set()
135,BT Sport slammed putting Tyson Fury clash unknown Schwarz pay view branded worst history,78 days 19:46:22.518526000,{Thompson},"{Scene, Team, BT, Squeal, Schwarz, Fury, Tyson, Sport}",set()
136,SG Cares mural honours healthcare education youth development pioneers,78 days 19:46:19.518526000,set(),set(),set()
137,Jordan Henderson wife Rebecca Burnett Liverpool captain marry children,78 days 19:46:16.518526000,"{Jordan, Henderson, Ekubo, Rebecca, Eddie, Watson, Quest, Burnett, Sophie, Alex}",set(),set()
138,Liverpool hero Graeme Souness reveals Reds win Premier League,78 days 19:45:49.518526000,"{Valverde, Graeme}",set(),set()
139,Years Ago Sterling election bans dances school property,78 days 19:45:41.518526000,set(),"{London, Bavaria, Underground, Sterling}",set()
140,Liverpool defender Virgil van Dijk named Premier League Player Season,78 days 19:45:09.518526000,"{Liverpool, Liverpool, Dijk, Dijk, van, van, Virgil, Virgil}",set(),set()
141,Joe Pasquale Hollyoaks star son Joe Tracini opens suicide attempt shares shock video high drugs,78 days 19:43:26.518526000,"{Howard, Hinch, Clara, Mrs, Markle, Tracini, Meghan, Meghan, Joe, Diana, Jodie, Pasquale, Alphaville, Bates, Marsh, Rial, Matay, Joe, Stern}",set(),set()
142,Ailing Bangkok cabby dies driving passenger safely destination,78 days 19:43:03.518526000,set(),"{Sugar, Sony}",{Bangkok}
143,Louis Vuitton unveils flexible screens prototype handbags,78 days 19:43:00.518526000,"{Louis, Vuitton, Louis, Vuitton, Vuitton, Louis, Louis, Royole, Vuitton}",set(),set()
144,Merkel preferred successor says wo seek post,78 days 19:41:59.518526000,"{Merkel, Merkel, Parliament, Theresa}",set(),{UK}
145,Woman try baby following IVF miscarriage triplets,78 days 19:41:58.518526000,"{TRIPLETS, Victor}",set(),set()
146,Peggy Lipton Star Mod Squad Twin Peaks Dies,78 days 19:41:58.518526000,"{Wendy, Williams, Peggy, Lipton}",set(),set()
147,Budget economy heading universe,78 days 19:41:58.518526000,set(),set(),"{Weld, County}"
148,Rangers fans branded disgrace sick chant Celtic Lisbon Lions McManus Stewart,78 days 19:41:31.518526000,"{Celtic, Page, Steven, Hunt, McManus, Laure, Lima, Venom, McManus, Lamar, Celtic, Eya, Douglas, Nowitzki, Michael, Tam, Nowitzki, Lustig, Dirk, Dirk, Gerrard, Stewart, UST}",set(),"{Dallas, Dallas}"
149,Coronation Street Steve manic baseball bat attack deadly consequences,78 days 19:41:08.518526000,"{Schukov, Steve}",set(),set()
150,PhaseOne TRANSCENDENCY Transcends Genre,78 days 19:41:03.518526000,"{Stellenbosch, Rayners}",set(),set()
151,Paul Heckingbottom spat diver Alex Bruce boils,78 days 19:40:58.518526000,"{Naomi, Jamie, Gerrard, Smith, Steven, Bruce, Alex, Heckingbottom, Paul, Cena, John, Elton, Scott, Carragher}",set(),set()
152,living fear Regina woman dog Yoda reeling alleged attack,78 days 19:40:57.518526000,"{Yoda, Regina, Yoda, Steve, Joliet, Weld, AIOFLA}",set(),{Ranch}
153,Lipinski votes bill protect preexisting conditions,78 days 19:39:55.518526000,"{Lipinski, Lipinski}",{EU},"{Russia, UK}"
154,Rise Brexit Party shows Tories disregard Remainers focus winning Eurosceptic voters says Jacob Rees Mogg,78 days 19:39:48.518526000,"{Remainers, Rees, Jacob, Mack, Kevin, Farrer, Stephen, Eurosceptic, Mandel}","{Alberta, Party, Brexit, Party}",set()
155,Michael Jackson eldest child Prince college graduate,78 days 19:38:58.518526000,"{Prince, Jackson, Clunes, Martin, Michael}",set(),set()
156,Horoscope,78 days 19:38:58.518526000,"{Horoscope, Horoscope}",set(),set()
157,Video surfaces social media showing Mavericks star Kristaps Porzingis bloodied altercation,78 days 19:38:28.518526000,"{Arthur, Ratburn, Porzingis, Kristaps, Mavericks, Crow}",set(),set()
158,Dan Kraus pitch support conservation efforts protect nature,78 days 19:38:10.518526000,"{Pasaman, West, Dan, Kraus}",set(),set()
159,James Bond odds Richard Madden soars spot bookies favourite,78 days 19:38:03.518526000,"{Bond, James, Richard}","{Rangers, Scott, Brown}",set()
160,Katie Price reveals started training paramedic qualified save lives years time,78 days 19:37:58.518526000,"{Katie, Price}",set(),{Jakarta}
161,Worldwide obesity rising faster rural areas,78 days 19:37:16.518526000,set(),{Facebook},set()
162,Asia sex marriage law heads vote Taiwan,78 days 19:36:59.518526000,"{Alyssa, Milano}",set(),"{Georgia, Taiwan}"
163,Bros star Luke Goss splits wife years claims cheated,78 days 19:36:21.518526000,"{chung, William, Kate, Harry, Wong, Meghan, Bros, Luke, Ho, Goss}",set(),"{Kong, Hong}"
164,John Tory sends letter MPPs urging reversal child care cuts,78 days 19:35:46.518526000,"{John, Tory, Halimah}",set(),set()
165,WWE superstar Elias wears Manchester City shirt troll Liverpool live event causing outrage fans,78 days 19:35:39.518526000,"{Martin, Ibrahimovic, Zlatan, Musselburgh, Wolverhampton, Bull, City, Tom, Manchester, Kempton, Elias, Tyler}","{WWE, Liverpool, Billy, Elias, Nike, McNeill, Club}",{Liverpool}
166,Weld County Big Sales,78 days 19:35:39.518526000,set(),"{County, Sales, Weld, Big}",set()
167,BTS Teases Forthcoming Collab Khalid,78 days 19:35:16.518526000,"{Khalid, Collab, Khalid}",set(),set()
168,Asian stocks following Wall Street bloodbath China trade war heats,78 days 19:34:58.518526000,"{Andrew, Blog, Coyne}","{Washington, Home, Spending, Apple, Trade, Beijing, Bad, China, Apple, Singapore}","{China, China, Singapore, Singapore, China, China, China}"
169,Sono Motors taking industry standards electric car,78 days 19:34:24.518526000,set(),"{Sono, Fresh, Motors}",set()
170,Germany crossbow deaths Police investigating bizarre case discover bodies,78 days 19:33:49.518526000,set(),set(),{Germany}
171,Sunday Times Rich List UK richest people revealed including Jim Ratcliffe,78 days 19:32:58.518526000,"{Ratcliffe, Jim, Ratcliffe, Jim}",set(),"{UK, UK}"
